Loci	Chromosome	Expressed Parental Allele	Name
Mir154	12	M	microRNA 154
Mir410	12	M	microRNA 410
Dio3	12	P	"deiodinase, iodothyronine type III"
AF357426	12	M	snoRNA AF357426
Mico1	12	M	Mico1
Mico1os	12	M	Mico1os
MBII-426	12	M	MBII-426
MBII-343	12	M	MBII-343
AK050713	12	M	AK050713
AK053394	12	M	AK053394
AntiRtl1	12	M	AntiRtl1
Cmah	13	M	cytidine monophospho-N-acetylneuraminic acid hydroxylase
Drd1a	13	M	dopamine receptor D1A
Pde4d	13	P	"phosphodiesterase 4D, cAMP specific"
Htr2a	14	M	5-hydroxytryptamine (serotonin) receptor 2A
Kcnk9	15	M	"potassium channel, subfamily K, member 9"
Peg13	15	P	paternally expressed 13
Trappc9	15	M	trafficking protein particle complex 9
Slc38a4	15	P	"solute carrier family 38, member 4"
Fbxo40	16	M	F-box protein 40
Pde10a	17	M	phosphodiesterase 10A
Slc22a3	17	M	"solute carrier family 22 (organic cation transporter), member 3"
Slc22a2	17	M	"solute carrier family 22 (organic cation transporter), member 2"
Airn	17	P	antisense Igf2r RNA
Igf2r	17	M	insulin-like growth factor 2 receptor
Qpct	17	M	glutaminyl-peptide cyclotransferase (glutaminyl cyclase)
Impact	18	P	imprinted and ancient
Tbc1d12	19	P	"TBC1D12: TBC1 domain family, member 12"
Ins1	19	P	insulin I
Fthl17	X	P	"ferritin, heavy polypeptide-like 17"
Xlr3b	X	M	X-linked lymphocyte-regulated 3B
Xlr4b	X	M	X-linked lymphocyte-regulated 4B
Xlr4c	X	M	X-linked lymphocyte-regulated 4C
Rhox5	X	P	reproductive homeobox 5
