gene_ID	transcript_ID	annot_gene_id	annot_transcript_id	annot_gene_name	annot_transcript_name	n_exons	length	gene_novelty	transcript_novelty	ISM_subtype	barcode01	barcode02	barcode03	barcode04
77	360	TALONG000000077	TALONT000000360	TALONG000000077	TALONT000000360	2	901	Intergenic	ISM	Suffix	5603	2153	29997	51717
77	373	TALONG000000077	TALONT000000373	TALONG000000077	TALONT000000373	4	1017	Intergenic	NIC	None	41	18	70	68
77	387	TALONG000000077	TALONT000000387	TALONG000000077	TALONT000000387	4	997	Intergenic	ISM	Suffix	45	16	85	113
77	391	TALONG000000077	TALONT000000391	TALONG000000077	TALONT000000391	3	980	Intergenic	NNC	None	14	5	17	30
77	413	TALONG000000077	TALONT000000413	TALONG000000077	TALONT000000413	4	1002	Intergenic	NIC	None	12	5	14	25
77	567	TALONG000000077	TALONT000000567	TALONG000000077	TALONT000000567	2	886	Intergenic	NIC	None	15	9	60	113
78	1036	TALONG000000078	TALONT000001036	TALONG000000078	TALONT000001036	4	1006	Antisense	NIC	None	26	6	16	36
78	1076	TALONG000000078	TALONT000001076	TALONG000000078	TALONT000001076	2	912	Antisense	NIC	None	1103	457	6068	9638
78	1124	TALONG000000078	TALONT000001124	TALONG000000078	TALONT000001124	4	1005	Antisense	NIC	None	11	5	15	25
77	1689	TALONG000000077	TALONT000001689	TALONG000000077	TALONT000001689	3	935	Intergenic	NIC	None	54	20	338	586
77	1953	TALONG000000077	TALONT000001953	TALONG000000077	TALONT000001953	2	239	Intergenic	NIC	None	6	5	61	83
78	1990	TALONG000000078	TALONT000001990	TALONG000000078	TALONT000001990	2	873	Antisense	NIC	None	5	9	30	66
78	1992	TALONG000000078	TALONT000001992	TALONG000000078	TALONT000001992	3	915	Antisense	NIC	None	91	35	570	911
77	1995	TALONG000000077	TALONT000001995	TALONG000000077	TALONT000001995	2	896	Intergenic	NIC	None	396	127	1928	3772
78	2000	TALONG000000078	TALONT000002000	TALONG000000078	TALONT000002000	3	919	Antisense	NIC	None	28	13	205	337
78	2002	TALONG000000078	TALONT000002002	TALONG000000078	TALONT000002002	3	918	Antisense	NIC	None	31	9	131	223
78	2003	TALONG000000078	TALONT000002003	TALONG000000078	TALONT000002003	3	950	Antisense	NIC	None	32	7	150	236
78	2004	TALONG000000078	TALONT000002004	TALONG000000078	TALONT000002004	3	924	Antisense	NIC	None	7	6	48	65
78	2005	TALONG000000078	TALONT000002005	TALONG000000078	TALONT000002005	3	905	Antisense	NIC	None	38	17	190	306
78	2008	TALONG000000078	TALONT000002008	TALONG000000078	TALONT000002008	3	906	Antisense	NIC	None	27	8	147	234
78	2009	TALONG000000078	TALONT000002009	TALONG000000078	TALONT000002009	3	908	Antisense	NIC	None	24	10	141	231
78	2012	TALONG000000078	TALONT000002012	TALONG000000078	TALONT000002012	3	927	Antisense	NIC	None	14	8	79	125
78	2022	TALONG000000078	TALONT000002022	TALONG000000078	TALONT000002022	3	923	Antisense	NIC	None	56	19	281	425
78	2039	TALONG000000078	TALONT000002039	TALONG000000078	TALONT000002039	3	906	Antisense	NIC	None	6	7	31	48
78	2049	TALONG000000078	TALONT000002049	TALONG000000078	TALONT000002049	3	894	Antisense	NIC	None	13	7	84	122
77	2059	TALONG000000077	TALONT000002059	TALONG000000077	TALONT000002059	3	908	Intergenic	NIC	None	211	94	1156	2282
77	2060	TALONG000000077	TALONT000002060	TALONG000000077	TALONT000002060	3	919	Intergenic	NIC	None	35	10	177	289
78	2070	TALONG000000078	TALONT000002070	TALONG000000078	TALONT000002070	3	928	Antisense	NIC	None	7	6	32	86
78	2073	TALONG000000078	TALONT000002073	TALONG000000078	TALONT000002073	4	942	Antisense	NIC	None	8	6	43	83
77	2078	TALONG000000077	TALONT000002078	TALONG000000077	TALONT000002078	3	912	Intergenic	NIC	None	19	5	67	98
77	2079	TALONG000000077	TALONT000002079	TALONG000000077	TALONT000002079	3	898	Intergenic	NIC	None	26	14	174	246
77	2086	TALONG000000077	TALONT000002086	TALONG000000077	TALONT000002086	3	897	Intergenic	NIC	None	20	7	129	229
77	2099	TALONG000000077	TALONT000002099	TALONG000000077	TALONT000002099	3	910	Intergenic	NIC	None	19	10	62	160
77	2102	TALONG000000077	TALONT000002102	TALONG000000077	TALONT000002102	3	916	Intergenic	NIC	None	6	5	40	73
77	2207	TALONG000000077	TALONT000002207	TALONG000000077	TALONT000002207	3	899	Intergenic	NIC	None	23	18	153	275
77	2215	TALONG000000077	TALONT000002215	TALONG000000077	TALONT000002215	3	889	Intergenic	NIC	None	26	7	128	203
77	2220	TALONG000000077	TALONT000002220	TALONG000000077	TALONT000002220	3	896	Intergenic	NIC	None	13	6	41	81
78	5553	TALONG000000078	TALONT000005553	TALONG000000078	TALONT000005553	2	942	Antisense	ISM	Prefix	354	125	424	649
77	5555	TALONG000000077	TALONT000005555	TALONG000000077	TALONT000005555	2	946	Intergenic	ISM	Suffix	348	144	420	751
77	5557	TALONG000000077	TALONT000005557	TALONG000000077	TALONT000005557	3	968	Intergenic	ISM	Suffix	9	5	12	19
77	5745	TALONG000000077	TALONT000005745	TALONG000000077	TALONT000005745	2	875	Intergenic	ISM	Suffix	22	11	105	150
77	5746	TALONG000000077	TALONT000005746	TALONG000000077	TALONT000005746	2	896	Intergenic	ISM	Suffix	285	97	1189	1772
77	5747	TALONG000000077	TALONT000005747	TALONG000000077	TALONT000005747	2	886	Intergenic	ISM	Suffix	33	9	129	235
78	5749	TALONG000000078	TALONT000005749	TALONG000000078	TALONT000005749	2	872	Antisense	ISM	Prefix	18	8	40	68
77	5759	TALONG000000077	TALONT000005759	TALONG000000077	TALONT000005759	2	881	Intergenic	ISM	Suffix	21	11	164	241
77	5763	TALONG000000077	TALONT000005763	TALONG000000077	TALONT000005763	2	881	Intergenic	ISM	Suffix	35	8	149	182
78	5764	TALONG000000078	TALONT000005764	TALONG000000078	TALONT000005764	2	881	Antisense	ISM	Prefix	33	6	108	196
77	5768	TALONG000000077	TALONT000005768	TALONG000000077	TALONT000005768	2	903	Intergenic	ISM	Suffix	64	20	288	407
78	5773	TALONG000000078	TALONT000005773	TALONG000000078	TALONT000005773	2	889	Antisense	ISM	Prefix	141	34	479	767
77	5777	TALONG000000077	TALONT000005777	TALONG000000077	TALONT000005777	2	879	Intergenic	ISM	Suffix	17	10	95	140
77	5782	TALONG000000077	TALONT000005782	TALONG000000077	TALONT000005782	2	892	Intergenic	ISM	Suffix	53	17	270	371
78	5784	TALONG000000078	TALONT000005784	TALONG000000078	TALONT000005784	2	915	Antisense	ISM	Prefix	105	24	339	534
78	5786	TALONG000000078	TALONT000005786	TALONG000000078	TALONT000005786	2	902	Antisense	ISM	Prefix	72	24	357	544
78	5800	TALONG000000078	TALONT000005800	TALONG000000078	TALONT000005800	2	874	Antisense	ISM	Prefix	33	13	163	223
78	5801	TALONG000000078	TALONT000005801	TALONG000000078	TALONT000005801	3	963	Antisense	ISM	Prefix	10	6	37	47
77	5806	TALONG000000077	TALONT000005806	TALONG000000077	TALONT000005806	2	911	Intergenic	ISM	Suffix	13	11	139	144
77	5857	TALONG000000077	TALONT000005857	TALONG000000077	TALONT000005857	2	873	Intergenic	ISM	Suffix	9	6	39	77
78	6601	TALONG000000078	TALONT000006601	TALONG000000078	TALONT000006601	3	932	Antisense	ISM	Prefix	23	7	89	136
78	6642	TALONG000000078	TALONT000006642	TALONG000000078	TALONT000006642	2	877	Antisense	ISM	Prefix	26	6	104	176
78	6646	TALONG000000078	TALONT000006646	TALONG000000078	TALONT000006646	2	888	Antisense	ISM	Prefix	42	8	160	227
78	6654	TALONG000000078	TALONT000006654	TALONG000000078	TALONT000006654	2	873	Antisense	ISM	Prefix	12	5	40	56
42	7820	R1_92	TALONT000007820	TALONG000000042	TALONT000007820	2	333	Known	ISM	Prefix	134	26	23	18
42	7822	R1_92	TALONT000007822	TALONG000000042	TALONT000007822	1	151	Known	ISM	None	81	18	12	10
42	7823	R1_92	TALONT000007823	TALONG000000042	TALONT000007823	3	441	Known	ISM	Prefix	24	14	9	6
78	7830	TALONG000000078	TALONT000007830	TALONG000000078	TALONT000007830	2	237	Antisense	NIC	None	53	9	6	11
42	7887	R1_92	TALONT000007887	TALONG000000042	TALONT000007887	3	564	Known	ISM	Both	32	13	20	32
42	7889	R1_92	TALONT000007889	TALONG000000042	TALONT000007889	2	447	Known	ISM	Both	22	7	8	18
42	7905	R1_92	TALONT000007905	TALONG000000042	TALONT000007905	5	926	Known	ISM	Both	10	5	10	10
62	7907	R2_24	TALONT000007907	TALONG000000062	TALONT000007907	2	447	Known	ISM	Both	28	6	11	27
62	7909	R2_24	TALONT000007909	TALONG000000062	TALONT000007909	5	926	Known	ISM	Both	24	8	14	17
62	7913	R2_24	TALONT000007913	TALONG000000062	TALONT000007913	3	564	Known	ISM	Both	46	12	35	33
42	7919	R1_92	TALONT000007919	TALONG000000042	TALONT000007919	6	1148	Known	ISM	Prefix	24	9	6	16
62	7984	R2_24	TALONT000007984	TALONG000000062	TALONT000007984	6	1008	Known	ISM	Suffix	29	8	11	16
47	8342	R2_6	TALONT000008342	TALONG000000047	TALONT000008342	4	549	Known	NNC	None	1330	370	144	188
82	8343	TALONG000000082	TALONT000008343	TALONG000000082	TALONT000008343	4	549	Antisense	ISM	Suffix	10920	3246	928	1633
47	8344	R2_6	TALONT000008344	TALONG000000047	TALONT000008344	5	583	Known	NNC	None	93	23	7	18
82	8345	TALONG000000082	TALONT000008345	TALONG000000082	TALONT000008345	4	552	Antisense	NIC	None	589	174	43	86
82	8346	TALONG000000082	TALONT000008346	TALONG000000082	TALONT000008346	5	584	Antisense	NIC	None	74	29	7	13
82	8347	TALONG000000082	TALONT000008347	TALONG000000082	TALONT000008347	4	419	Antisense	NNC	None	64	15	5	5
82	8348	TALONG000000082	TALONT000008348	TALONG000000082	TALONT000008348	5	598	Antisense	NIC	None	48	8	8	5
47	8349	R2_6	TALONT000008349	TALONG000000047	TALONT000008349	4	548	Known	NNC	None	93	27	10	6
47	8350	R2_6	TALONT000008350	TALONG000000047	TALONT000008350	4	548	Known	ISM	Suffix	405	112	36	42
47	8351	R2_6	TALONT000008351	TALONG000000047	TALONT000008351	4	540	Known	NIC	None	175	50	20	24
47	8358	R2_6	TALONT000008358	TALONG000000047	TALONT000008358	4	549	Known	NNC	None	129	32	8	13
47	8359	R2_6	TALONT000008359	TALONG000000047	TALONT000008359	4	555	Known	NIC	None	586	155	46	68
47	8368	R2_6	TALONT000008368	TALONG000000047	TALONT000008368	4	556	Known	NIC	None	86	12	8	10
47	8371	R2_6	TALONT000008371	TALONG000000047	TALONT000008371	4	544	Known	NIC	None	35	9	8	6
82	8375	TALONG000000082	TALONT000008375	TALONG000000082	TALONT000008375	4	549	Antisense	NIC	None	308	114	34	50
82	8377	TALONG000000082	TALONT000008377	TALONG000000082	TALONT000008377	4	549	Antisense	NIC	None	197	58	16	31
82	8379	TALONG000000082	TALONT000008379	TALONG000000082	TALONT000008379	4	555	Antisense	NIC	None	99	33	14	11
82	8382	TALONG000000082	TALONT000008382	TALONG000000082	TALONT000008382	4	543	Antisense	NIC	None	448	101	25	57
82	8384	TALONG000000082	TALONT000008384	TALONG000000082	TALONT000008384	4	535	Antisense	NIC	None	347	124	26	44
82	8390	TALONG000000082	TALONT000008390	TALONG000000082	TALONT000008390	5	626	Antisense	NIC	None	58	17	5	9
47	8411	R2_6	TALONT000008411	TALONG000000047	TALONT000008411	4	555	Known	NNC	None	51	17	6	7
82	8413	TALONG000000082	TALONT000008413	TALONG000000082	TALONT000008413	4	541	Antisense	NIC	None	137	48	12	20
